title,artist,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
BIRDS OF A FEATHER,Billie Eilish,0.747,0.507,2,-10.171,0.0358,0.2,0.0608,0.117,0.438,104.978
Espresso,Sabrina Carpenter,0.701,0.76,0,-5.478,0.0285,0.107,6.54e-05,0.185,0.69,103.969
Die With A Smile,"Lady Gaga, Bruno Mars",0.521,0.592,6,-7.777,0.0304,0.308,0.0,0.122,0.535,157.969
As It Was,Harry Styles,0.52,0.731,6,-5.338,0.0557,0.342,0.00101,0.311,0.662,173.93
Life,ConKi,0.607,0.817,0,-5.839,0.0485,0.13,1.75e-05,0.56,0.338,112.052
Cruel Summer,Taylor Swift,0.552,0.702,9,-5.707,0.157,0.117,2.06e-05,0.105,0.564,169.994
"Good Luck, Babe!",Chappell Roan,0.7,0.582,11,-5.96,0.0356,0.0502,0.0,0.0881,0.785,116.712
Too Sweet,Hozier,0.741,0.62,10,-5.505,0.0412,0.0295,0.000809,0.0398,0.934,117.038
Flowers,Miley Cyrus,0.707,0.681,0,-4.325,0.0668,0.0632,5.15e-06,0.0322,0.646,117.999
Oh My Love,ConKi,0.635,0.809,8,-5.642,0.0421,0.468,0.000407,0.1,0.0889,123.978
Beautiful Things,Benson Boone,0.472,0.471,10,-5.692,0.0603,0.151,0.0,0.14,0.219,105.029
STAY (with Justin Bieber),"The Kid LAROI, Justin Bieber",0.591,0.764,1,-5.484,0.0483,0.0383,0.0,0.103,0.478,169.928
A Bar Song (Tipsy),Shaboozey,0.722,0.709,9,-4.95,0.0273,0.0633,0.0,0.0804,0.604,81.012
Ocean,"ConKi, Magnus Gunn",0.738,0.723,7,-6.691,0.0402,0.229,0.0034,0.305,0.285,119.985
i like the way you kiss me,Artemas,0.599,0.946,11,-4.263,0.0447,0.000938,0.0106,0.0826,0.747,151.647
Please Please Please,Sabrina Carpenter,0.669,0.586,9,-6.073,0.054,0.274,0.0,0.104,0.579,107.071
I Ain't Worried,OneRepublic,0.704,0.797,0,-5.927,0.0475,0.0826,0.000745,0.0546,0.825,139.994
Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",0.719,0.454,2,-7.384,0.0707,0.0138,4.83e-06,0.318,0.224,131.007
Sleep,"ConKi, Rolipso, Runforrest",0.674,0.815,7,-6.501,0.0334,0.00246,0.000435,0.094,0.204,132.032
vampire,Olivia Rodrigo,0.484,0.53,5,-5.82,0.054,0.148,0.0,0.283,0.319,136.874
Cold Heart - PNAU Remix,"Elton John, Dua Lipa, PNAU",0.796,0.798,1,-6.312,0.0317,0.034,4.19e-05,0.0952,0.942,116.032
greedy,Tate McRae,0.749,0.729,6,-3.19,0.0321,0.261,0.0,0.113,0.816,111.004
I'll Be There,"ConKi, Magnus Gunn",0.726,0.872,5,-7.128,0.0665,0.356,0.121,0.393,0.131,115.024
Paint The Town Red,Doja Cat,0.868,0.538,5,-8.603,0.174,0.269,3.34e-06,0.0901,0.732,99.968
Ghost,Justin Bieber,0.604,0.741,2,-5.571,0.0475,0.178,3.49e-05,0.409,0.473,153.947
Lose Control,Teddy Swims,0.561,0.604,9,-4.409,0.0337,0.199,1.9e-05,0.104,0.242,159.92
Let It Go,"ConKi, Rolipso, Shiah Maisel",0.535,0.683,1,-9.903,0.0492,0.0327,0.000225,0.309,0.119,121.02
"One Of The Girls (with JENNIE, Lily Rose Depp)","The Weeknd, JENNIE, Lily-Rose Depp",0.264,0.64,8,-6.221,0.0442,0.0393,2.31e-06,0.151,0.19,84.828
I Had Some Help (Feat. Morgan Wallen),"Post Malone, Morgan Wallen",0.638,0.855,7,-4.86,0.0264,0.00757,0.0,0.245,0.731,127.986
Daylight,David Kushner,0.508,0.43,2,-9.475,0.0335,0.83,0.000441,0.093,0.324,130.09
